task_id,run_id,mode,provider,model,domain,tier,autonomous_completed,duration_seconds,cost_cents,quality_score,completeness,human_baseline_seconds,human_quality_score
design-live-room-critique,design-live-room-critique-r1,local_openai,openai,gpt-5-nano,design,tier1_quick,true,10.32,0.0616,85.67,0.9,3000,89
marketing-launch-brief,marketing-launch-brief-r1,local_openai,openai,gpt-5-nano,marketing,tier1_quick,true,8.6,0.0494,100,1,2700,86
postmortem,postmortem-r1,local_openai,openai,gpt-5-nano,ops,tier1_quick,true,6.79,0.0463,100,1,1800,90
pr-description,pr-description-r1,local_openai,openai,gpt-5-nano,engineering,tier1_quick,true,4.98,0.0326,100,0.9,600,85
product-initiative-brief,product-initiative-brief-r1,local_openai,openai,gpt-5-nano,product,tier1_quick,true,7.3,0.0464,100,0.9,2400,88
sales-outreach-sequence,sales-outreach-sequence-r1,local_openai,openai,gpt-5-nano,sales,tier1_quick,true,7.65,0.0363,100,0.9,2100,84
cross-functional-launch-plan,cross-functional-launch-plan-r1,local_openai,openai,gpt-5-nano,cross_functional,tier2_medium,true,9.78,0.0645,94.72,0.92,7200,90
engineering-release-readiness-review,engineering-release-readiness-review-r1,local_openai,openai,gpt-5-nano,engineering,tier2_medium,true,6.59,0.0426,76.67,0.72,3600,89
marketing-proof-campaign-brief,marketing-proof-campaign-brief-r1,local_openai,openai,gpt-5-nano,marketing,tier2_medium,true,7.78,0.0525,89.71,0.92,3300,87
ops-escalation-playbook,ops-escalation-playbook-r1,local_openai,openai,gpt-5-nano,ops,tier2_medium,true,20.87,0.0715,100,0.9,3900,88
product-retention-experiment-plan,product-retention-experiment-plan-r1,local_openai,openai,gpt-5-nano,product,tier2_medium,true,14.76,0.0444,92.67,0.92,3300,88
sales-competitive-battlecard,sales-competitive-battlecard-r1,local_openai,openai,gpt-5-nano,sales,tier2_medium,true,10,0.0565,89.29,0.9,3600,87
